date,Time_to_Maturity,last_value,spread_bps,spread_dec,hazard,s_tau,Q_fit_spline,NS_fit,piecewise_fit
2015-04-28,10.961643835616439,102.323,102.323,0.0102323,0.017053833333333334,0.8294951244784983,0.799789842331269,0.8019491952590867,0.8294951244784983
2015-04-29,10.95890410958904,93.6552,93.6552,0.009365519999999999,0.015609199999999998,0.8427712365904577,0.7997992171365231,0.8019541292530222,0.8427712365904577
2015-05-04,10.945205479452055,92.523,92.523,0.0092523,0.0154205,0.8446942587226778,0.7998461226849216,0.8019788550317001,0.8446942587226778
2015-05-05,10.942465753424658,93.2042,93.2042,0.00932042,0.015534033333333332,0.8436811604298409,0.7998555101185163,0.8019838113760326,0.8436811604298409
2015-05-11,10.926027397260274,95.5393,95.5393,0.00955393,0.015923216666666667,0.8403158032467306,0.7999118792224067,0.802013628084981,0.8403158032467306
2015-05-12,10.923287671232877,104.088,104.088,0.0104088,0.017348,0.8273750380778687,0.7999212815163272,0.8020186106796301,0.8273750380778687
2015-05-19,10.904109589041095,117.703,117.703,0.011770300000000001,0.019617166666666668,0.8074228783289009,0.799987157488907,0.8020535944936104,0.8074228783289009
2015-05-21,10.898630136986302,125.383,125.383,0.012538299999999999,0.020897166666666665,0.796322925255784,0.8000059985389707,0.8020636239451763,0.796322925255784
2015-06-05,10.857534246575343,116.969,116.969,0.0116969,0.019494833333333333,0.8092350821218293,0.8001475833699263,0.8021393315757149,0.8092350821218293
2015-06-19,10.819178082191781,147.77,147.77,0.014777,0.024628333333333335,0.7660879303875745,0.8002801762547724,0.8022107753173172,0.7660879303875745
2015-06-23,10.808219178082192,155.2,155.2,0.015519999999999999,0.025866666666666666,0.7561068303949288,0.8003181403774742,0.802231328308367,0.7561068303949288
2015-06-25,10.802739726027397,144.487,144.487,0.0144487,0.024081166666666667,0.7709416603441245,0.8003371359645854,0.802241628381249,0.7709416603441245
2015-06-29,10.791780821917808,159.236,159.236,0.0159236,0.026539333333333335,0.7509571632241073,0.8003751543101855,0.802262275844638,0.7509571632241073
2015-07-01,10.786301369863013,138.626,138.626,0.013862600000000001,0.023104333333333334,0.7794160431744875,0.8003941771168146,0.8022726233005364,0.7794160431744875
2015-07-24,10.723287671232876,161.662,161.662,0.016166200000000002,0.02694366666666667,0.7490686166962843,0.8006136011322594,0.8023927672892281,0.7490686166962843
2015-07-28,10.712328767123287,155.555,155.555,0.0155555,0.025925833333333335,0.7575043112252724,0.8006518877280059,0.8024138797398994,0.7575043112252724
2015-08-06,10.687671232876712,149.943,149.943,0.014994300000000002,0.024990500000000006,0.7656039741619667,0.8007381711447974,0.8024616217068026,0.7656039741619667
2015-08-10,10.676712328767124,151.979,151.979,0.015197900000000002,0.025329833333333336,0.7630441819258943,0.8007765813849745,0.8024829471875269,0.7630441819258943
