date,last_value,spread_bps,spread_dec,hazard,tau_yrs,s_tau
2018-12-20,160.888,160.888,0.0160888,0.026814666666666667,7.7095890410958905,0.8132391459131457
2018-12-31,156.262,156.262,0.0156262,0.026043666666666666,7.67945205479452,0.8187298610731816
2019-01-02,161.094,161.094,0.0161094,0.026849,7.673972602739726,0.8138017521162065
2019-01-03,151.592,151.592,0.015159200000000001,0.025265333333333338,7.671232876712328,0.8238092606122487
2019-01-07,162.931,162.931,0.0162931,0.02715516666666667,7.66027397260274,0.8121940281521787
2019-01-14,147.652,147.652,0.0147652,0.024608666666666668,7.641095890410959,0.8285838984728519
2019-01-15,153.543,153.543,0.015354300000000001,0.025590500000000002,7.638356164383562,0.8224485484093634
2019-01-16,159.496,159.496,0.0159496,0.02658266666666667,7.635616438356164,0.8162986106173464
2019-01-25,154.681,154.681,0.015468100000000002,0.02578016666666667,7.610958904109589,0.8218381599294476
2019-01-31,149.827,149.827,0.0149827,0.024971166666666666,7.594520547945206,0.8272535520737377
2019-02-05,137.944,137.944,0.013794399999999998,0.022990666666666666,7.580821917808219,0.8400548011809172
2019-03-08,133.714,133.714,0.0133714,0.02228566666666667,7.495890410958904,0.8461565281228198
2019-03-14,128.542,128.542,0.0128542,0.021423666666666667,7.47945205479452,0.8519416097392396
2019-03-15,113.436,113.436,0.0113436,0.018906000000000003,7.476712328767123,0.8681812929476568
2019-04-23,116.049,116.049,0.011604900000000001,0.019341500000000005,7.36986301369863,0.8671492206979263
2019-04-26,116.004,116.004,0.0116004,0.019334,7.361643835616438,0.8673349696979732
2019-05-01,121.996,121.996,0.0121996,0.020332666666666666,7.347945205479452,0.8612216964366564
2019-05-15,118.72,118.72,0.011872,0.019786666666666668,7.30958904109589,0.8653403321774481
2019-05-22,110.972,110.972,0.0110972,0.018495333333333332,7.2904109589041095,0.8738569575758258
2019-05-28,115.218,115.218,0.0115218,0.019203,7.273972602739726,0.8696346518891853
2019-05-31,117.17,117.17,0.011717,0.019528333333333335,7.265753424657534,0.8677183879623498
2019-06-03,119.745,119.745,0.0119745,0.019957500000000003,7.257534246575342,0.8651587700297299
2019-06-05,119.071,119.071,0.0119071,0.019845166666666667,7.252054794520548,0.8659585493362318
2019-06-07,119.94,119.94,0.011994,0.01999,7.2465753424657535,0.8651442342993547
2019-06-10,113.919,113.919,0.0113919,0.0189865,7.238356164383561,0.871594444959302
2019-06-20,115.174,115.174,0.0115174,0.01919566666666667,7.210958904109589,0.8707336355096397
2019-06-26,112.967,112.967,0.0112967,0.018827833333333335,7.1945205479452055,0.8733165105671923
2019-06-28,123.155,123.155,0.0123155,0.020525833333333333,7.189041095890411,0.8628097541009419
2019-07-05,103.894,103.894,0.0103894,0.017315666666666667,7.16986301369863,0.8832464977016609
2019-07-17,103.932,103.932,0.0103932,0.017322,7.136986301369863,0.8837095119733994
2019-07-22,106.537,106.537,0.0106537,0.017756166666666667,7.123287671232877,0.8811897613516756
2019-07-26,100.177,100.177,0.010017700000000001,0.016696166666666668,7.112328767123287,0.8880310001823798
2019-08-22,105.949,105.949,0.010594899999999999,0.017658166666666666,7.038356164383561,0.8831285849059963
2019-08-27,130.119,130.119,0.0130119,0.0216865,7.024657534246575,0.8586960720466337
2019-09-10,106.712,106.712,0.0106712,0.017785333333333334,6.986301369863014,0.8831557570533105
2019-09-12,92.7276,92.7276,0.00927276,0.0154546,6.980821917808219,0.8977301020092068
2019-09-17,97.0253,97.0253,0.009702530000000001,0.016170883333333337,6.967123287671233,0.8934503286141738
2019-10-11,104.581,104.581,0.0104581,0.017430166666666667,6.901369863013699,0.886661469869921
2019-10-15,104.545,104.545,0.0104545,0.017424166666666668,6.890410958904109,0.8868675166850246
2019-10-16,98.7607,98.7607,0.00987607,0.01646011666666667,6.887671232876713,0.8928185840935203
2019-10-24,86.3128,86.3128,0.00863128,0.014385466666666668,6.865753424657535,0.9059537099345025
2019-10-30,96.3851,96.3851,0.00963851,0.016064183333333332,6.8493150684931505,0.8958084673574167
2019-11-15,96.0928,96.0928,0.00960928,0.016015466666666665,6.8054794520547945,0.896736758018902
2019-11-19,96.69,96.69,0.009669,0.016115,6.794520547945205,0.8962878121853227
2020-01-07,87.2414,87.2414,0.00872414,0.014540233333333335,6.66027397260274,0.9076994679281869
2020-01-10,81.5684,81.5684,0.00815684,0.013594733333333334,6.652054794520548,0.9135356199904444
2020-01-23,82.9214,82.9214,0.00829214,0.013820233333333334,6.616438356164384,0.9126154126400673
2020-01-27,99.4171,99.4171,0.009941710000000001,0.01656951666666667,6.605479452054794,0.8963273364435063
2020-01-28,89.9989,89.9989,0.00899989,0.014999816666666667,6.602739726027397,0.9057065828445332
2020-02-26,97.4328,97.4328,0.00974328,0.0162388,6.523287671232877,0.8994872827393616
2020-02-28,113.428,113.428,0.0113428,0.018904666666666667,6.517808219178082,0.8840718054304287
2020-03-05,122.851,122.851,0.0122851,0.02047516666666667,6.501369863013698,0.8753629912500888
2020-03-17,299.13,299.13,0.029913,0.049855,6.468493150684932,0.7243455466860435
2020-03-30,391.596,391.596,0.0391596,0.065266,6.432876712328767,0.6571466121029719
2020-04-14,456.05,456.05,0.045605,0.07600833333333333,6.391780821917808,0.6151872368762241
2020-04-23,699.925,699.925,0.0699925,0.11665416666666667,6.367123287671233,0.47580295945002554
2020-04-24,731.007,731.007,0.07310069999999999,0.12183449999999998,6.364383561643836,0.46051885060595055
2020-04-29,762.858,762.858,0.0762858,0.127143,6.35068493150685,0.4459960719684096
2020-05-05,731.233,731.233,0.07312329999999999,0.12187216666666666,6.3342465753424655,0.46210259089476385
2020-05-18,697.913,697.913,0.0697913,0.11631883333333334,6.298630136986302,0.4806339539300054
2020-05-19,709.39,709.39,0.070939,0.11823166666666668,6.295890410958904,0.47503175885350424
2020-05-20,738.626,738.626,0.0738626,0.12310433333333334,6.293150684931507,0.46083550599206885
2020-05-29,698.145,698.145,0.0698145,0.1163575,6.2684931506849315,0.48220488058993594
2020-06-01,699.381,699.381,0.0699381,0.11656350000000001,6.260273972602739,0.48204421093543603
2020-06-29,587.58,587.58,0.058758000000000005,0.09793000000000002,6.183561643835616,0.5457707889801081
2020-07-09,619.605,619.605,0.0619605,0.10326750000000001,6.156164383561644,0.5295478734442676
2020-08-05,590.038,590.038,0.0590038,0.09833966666666667,6.082191780821918,0.5498439807680467
2020-08-27,540.859,540.859,0.054085900000000006,0.09014316666666668,6.021917808219178,0.5810986514206012
2020-09-22,439.205,439.205,0.0439205,0.07320083333333334,5.950684931506849,0.6468795971227862
2020-09-25,433.29,433.29,0.043329,0.072215,5.942465753424657,0.6510719214984908
2020-09-29,423.308,423.308,0.0423308,0.07055133333333334,5.931506849315069,0.658049108873786
2020-10-06,419.592,419.592,0.041959199999999995,0.069932,5.912328767123288,0.6613573431206681
2020-10-08,424.351,424.351,0.0424351,0.07072516666666667,5.906849315068493,0.6585183431125632
2020-10-15,460.105,460.105,0.0460105,0.07668416666666668,5.887671232876713,0.6366780532392908
2020-10-19,457.479,457.479,0.0457479,0.07624650000000001,5.876712328767123,0.6388543744569578
2020-10-20,469.84,469.84,0.046984,0.07830666666666666,5.873972602739726,0.6313018175132236
2020-10-21,441.453,441.453,0.0441453,0.0735755,5.8712328767123285,0.6492230787049005
2020-10-23,446.8,446.8,0.044680000000000004,0.07446666666666668,5.865753424657535,0.646098632463077
2020-10-29,468.129,468.129,0.046812900000000005,0.07802150000000001,5.8493150684931505,0.6335778895613675
2020-11-02,454.679,454.679,0.0454679,0.07577983333333334,5.838356164383562,0.6424735328444845
2020-11-17,380.77,380.77,0.038077,0.06346166666666667,5.7972602739726025,0.6921837671964214
2020-11-18,386.942,386.942,0.0386942,0.06449033333333333,5.794520547945205,0.6881898312146683
2020-11-19,381.002,381.002,0.0381002,0.06350033333333334,5.791780821917809,0.6922694553682324
2020-11-20,386.466,386.466,0.0386466,0.06441100000000001,5.789041095890411,0.6887493060761948
2020-12-09,359.086,359.086,0.0359086,0.05984766666666667,5.736986301369863,0.7093932556293453
2020-12-10,347.106,347.106,0.0347106,0.05785100000000001,5.734246575342466,0.717679707976765
2021-02-03,259.12,259.12,0.025912,0.04318666666666667,5.583561643835616,0.7857352184366585
2021-02-08,279.821,279.821,0.027982100000000003,0.04663683333333334,5.5698630136986305,0.7712360641807322
2021-02-16,254.627,254.627,0.0254627,0.042437833333333334,5.5479452054794525,0.7902208829168147
2021-03-15,215.685,215.685,0.0215685,0.0359475,5.473972602739726,0.8213749044142302
2021-06-03,180.745,180.745,0.0180745,0.030124166666666667,5.254794520547946,0.8535968186886813
2021-06-15,179.912,179.912,0.017991200000000002,0.02998533333333334,5.221917808219178,0.8550623009270079
2021-06-25,161.962,161.962,0.016196199999999997,0.026993666666666662,5.1945205479452055,0.8691677310583233
2021-06-28,162.586,162.586,0.0162586,0.02709766666666667,5.186301369863013,0.8688918057760068
2021-07-28,183.614,183.614,0.0183614,0.030602333333333336,5.104109589041096,0.8553900946755851
2021-07-30,163.852,163.852,0.0163852,0.027308666666666665,5.098630136986301,0.8700219908032809
2021-08-17,147.102,147.102,0.0147102,0.024517,5.049315068493151,0.8835617850397502
2021-08-25,155.63,155.63,0.015562999999999999,0.02593833333333333,5.027397260273973,0.8777422389666368
2021-09-07,146.627,146.627,0.0146627,0.024437833333333336,4.991780821917808,0.8851587179280277
2021-09-10,148.775,148.775,0.0148775,0.024795833333333333,4.983561643835617,0.883758393759862
2021-09-27,142.307,142.307,0.014230699999999999,0.023717833333333334,4.936986301369863,0.8895010261379385
2021-09-30,141.466,141.466,0.0141466,0.023577666666666667,4.928767123287671,0.89028928627618
2021-10-12,146.738,146.738,0.0146738,0.024456333333333337,4.895890410958904,0.8871550334892812
2021-10-14,141.162,141.162,0.0141162,0.023527000000000003,4.890410958904109,0.8913156061002471
2021-11-03,112.588,112.588,0.0112588,0.018764666666666666,4.835616438356165,0.9132562856594043
2021-11-08,119.595,119.595,0.0119595,0.0199325,4.821917808219178,0.9083614774245248
2021-11-29,148.002,148.002,0.014800200000000001,0.024667,4.764383561643836,0.8891200179028381
2021-12-13,139.012,139.012,0.0139012,0.023168666666666667,4.726027397260274,0.8962859704999295
2021-12-22,135.336,135.336,0.013533600000000002,0.022556000000000003,4.701369863013698,0.8993849855555703
2022-02-09,160.969,160.969,0.0160969,0.02682816666666667,4.567123287671233,0.8846815362771342
2022-03-10,143.143,143.143,0.0143143,0.02385716666666667,4.487671232876712,0.8984689593474005
2022-03-15,190.698,190.698,0.0190698,0.031783000000000006,4.473972602739726,0.8674509841025654
2022-03-17,195.011,195.011,0.0195011,0.032501833333333334,4.468493150684932,0.864819711630445
2022-03-25,144.5,144.5,0.01445,0.02408333333333333,4.446575342465754,0.8984462862154471
2022-05-13,252.737,252.737,0.0252737,0.04212283333333333,4.3123287671232875,0.833895231734343
2022-05-16,269.417,269.417,0.0269417,0.044902833333333336,4.304109589041096,0.8242621013194792
2022-06-14,265.163,265.163,0.0265163,0.044193833333333335,4.2246575342465755,0.8296894449166177
2022-06-17,400.451,400.451,0.0400451,0.06674183333333333,4.2164383561643834,0.754716704461023
2022-06-29,310.324,310.324,0.0310324,0.05172066666666667,4.183561643835616,0.8054319212960208
2022-07-25,352.593,352.593,0.0352593,0.058765500000000005,4.112328767123287,0.7853207419606385
2022-09-01,316.682,316.682,0.0316682,0.05278033333333334,4.008219178082192,0.8093246501871435
2022-09-08,312.927,312.927,0.0312927,0.0521545,3.989041095890411,0.8121693155778034
2022-09-14,298.611,298.611,0.029861099999999998,0.0497685,3.9726027397260273,0.8206074014531292
